id,companyId,employeeId,mesReferencia,valorDiario,diasUteis,valorTotal,operadora,observacoes,createdAt,updatedAt,valorCafe,valorLanche,valorJanta,valorVA,status,motivoAlteracao,geradoPor,aprovadoPor
30203,60002,420113,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30204,60002,420114,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30205,60002,420115,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30206,60002,420116,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30207,60002,420117,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30208,60002,420118,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30209,60002,420119,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30210,60002,420120,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30211,60002,420121,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30212,60002,420122,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30213,60002,420124,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30214,60002,420125,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30215,60002,420126,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30216,60002,420127,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30217,60002,420128,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30218,60002,420129,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30219,60002,420130,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30220,60002,420131,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30221,60002,420132,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30222,60002,420133,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30223,60002,420134,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30224,60002,420135,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30225,60002,420136,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30226,60002,420137,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30227,60002,420138,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30228,60002,420139,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30229,60002,420140,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30230,60002,420141,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30231,60002,420142,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30232,60002,420143,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30233,60002,420144,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30234,60002,420145,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30235,60002,420146,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30236,60002,420147,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30237,60002,420148,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30238,60002,420149,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30239,60002,420150,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30240,60002,420151,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30241,60002,420152,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30242,60002,420153,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30243,60002,420154,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30244,60002,420155,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30245,60002,420156,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30246,60002,420157,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30247,60002,420158,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30248,60002,420159,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30249,60002,420160,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30250,60002,420161,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30251,60002,420162,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30252,60002,420163,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30253,60002,420164,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30254,60002,420165,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30255,60002,420166,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30256,60002,420167,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30257,60002,420168,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30258,60002,420169,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30259,60002,420170,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30260,60002,420171,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30261,60002,420172,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:46,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30262,60002,420173,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:47,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30263,60002,420174,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:47,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30264,60002,420175,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:47,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30265,60002,420176,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:47,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30266,60002,420177,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:47,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30267,60002,420178,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:47,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30268,60002,420179,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:47,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30269,60002,420180,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:47,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30270,60002,420181,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:47,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30271,60002,420183,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:47,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30272,60002,420184,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:47,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30273,60002,420185,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:47,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
