id,companyId,nome,ca,validadeCA,fabricante,fornecedor,quantidadeEstoque,createdAt,updatedAt,valor_produto,tempo_minimo_troca,categoria,tamanho,fornecedor_cnpj,fornecedor_contato,fornecedor_telefone,fornecedor_email,fornecedor_endereco,cor_capacete,condicao,vida_util_meses,criado_por,alterado_por
690051,60002,"Calçado de segurança de uso profissional tipo botina, confeccionado em couro, fechamento em elástico, palmilha de montagem em não tecido fixada pelo sistema strobel, biqueira de composite, solado empoliuretano bidensidade injetado direto ao cabedal, para uso eletricista.",38753,2026-08-05 00:00:00,CALCADOS CARTOM LTDA,CRESTANI COMERCIO LTDA,2,2026-02-25 20:39:15,2026-02-26 14:42:19,93.50,365,Calcado,43,,,,,,,Novo,,,
690052,60002,"Calçado de segurança de uso profissional tipo botina, confeccionado em couro, fechamento em elástico, palmilha de montagem em não tecido fixada pelo sistema strobel, biqueira de composite, solado empoliuretano bidensidade injetado direto ao cabedal, para uso eletricista.",38753,2026-08-05 00:00:00,CALCADOS CARTOM LTDA,CRESTANI COMERCIO LTDA,1,2026-02-25 20:40:11,2026-02-26 16:33:03,93.50,365,Calcado,42,,,,,,,Novo,,,
690053,60002,"Capacete para uso na indústria,  Tipo I; Classe E; regulagem por catraca, com a formatação em carneira e coroa unificadas. Tira absorvente em náilon almofadado.",42234,2027-10-17 00:00:00,BSB PRODUTORA DE EQUIPAMENTOS DE PROTECAO INDIVIDUAL S.A.,PAMELLA FILADORO NOGUEIRA LTDA,5,2026-02-25 20:41:56,2026-02-25 20:41:56,159.25,365,EPI,,,,,,,,Novo,,,
990004,60002,COLETE DE SINALIZAÇÃO REFLETIVO SEM BOLSO VICSA,,," VICSA",Neobetel,5,2026-02-26 14:03:56,2026-02-26 14:12:00,17.90,,Uniforme,XXGG,25464260000149,Neobetel EPI,,,,,Novo,,,
990005,60002,COLETE DE SINALIZAÇÃO REFLETIVO SEM BOLSO VICSA,,,VICSA,Neobetel,8,2026-02-26 14:14:58,2026-02-26 14:15:24,17.70,,Uniforme,M,25464260000149,Neobetel EPI,,,,,Novo,,,
990006,60002,COLETE DE SINALIZAÇÃO REFLETIVO SEM BOLSO VICSA,,,VICSA,Neobetel,6,2026-02-26 14:16:11,2026-02-26 14:16:29,17.70,,Uniforme,XGG,25464260000149,Neobetel EPI,,,,,Novo,,,
990007,60002,COLETE DE SINALIZAÇÃO REFLETIVO SEM BOLSO VICSA,,," VICSA",Neobetel,8,2026-02-26 14:17:18,2026-02-26 14:17:18,17.70,,Uniforme,G,25464260000149,Neobetel EPI,,,,,Novo,,,
1020001,60002,"Jardineira de segurança para saneamento, confeccionada em tecido sintético plastificado com PVC em ambas as faces (trevira), costuras através de solda eletrônica, com suspensório do mesmo material da vestimenta com meia argola para ajustes, botas de PVC forradas acopladas (fabricante da bota: BSB Produtora de Equipamentos de Proteção Individual S/A - CA nº 37.456).",28440,2026-05-13 00:00:00,BRASCAMP EQUIPAMENTOS DE PROTECAO DO TRABALHO LTDA,MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA,1,2026-02-26 18:04:01,2026-02-26 18:04:01,178.99,180,Calcado,44,03361252000134,MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA,(11) 25434155,,"DAS NACOES UNIDAS 3000, 3003, PARTE D, BONFIM, OSASCO, SP",,Reutilizado,,,
1020002,60002,Camisa Manga Longa Social Azul Escuro,,,,ESCARLATE,11,2026-02-26 19:47:09,2026-02-26 20:09:30,105.00,,Uniforme,G,01383434000180,ESCARLATE CONFECCOES LTDA,,,"BERNARDINO DE CAMPOS, 352, CENTRO, LORENA, SP",,Novo,,,
1020003,60002,Camisa Manga Longa Social Azul Escuro,,,,ESCARLATE,4,2026-02-26 19:48:58,2026-02-26 20:09:09,105.00,,Uniforme,GG,01383434000180,ESCARLATE CONFECCOES LTDA,,,"BERNARDINO DE CAMPOS, 352, CENTRO, LORENA, SP",,Novo,,,
