id,companyId,obraId,employeeId,dixiDeviceId,mesAno,horasNormais,horasExtras,horasNoturnas,totalHoras,diasTrabalhados,createdAt,updatedAt
330004,60002,90004,420166,,2026-02,44:45,0:54,0:00,45:39,7,2026-03-05 19:32:31,2026-03-05 19:32:31
330005,60002,90004,420176,,2026-02,45:25,1:06,0:00,46:31,7,2026-03-05 19:32:31,2026-03-05 19:32:31
330006,60002,120001,420055,,2026-02,18:00,1:54,0:00,19:54,4,2026-03-05 19:32:57,2026-03-05 19:32:57
330007,60002,120001,420062,,2026-02,18:03,0:43,0:00,18:46,3,2026-03-05 19:32:57,2026-03-05 19:32:57
330008,60002,120001,420075,,2026-02,42:00,1:56,0:00,43:56,8,2026-03-05 19:32:57,2026-03-05 19:32:57
330009,60002,120001,420096,,2026-02,5:59,6:46,0:00,12:45,6,2026-03-05 19:32:57,2026-03-05 19:32:57
330010,60002,120001,420143,,2026-02,8:00,12:07,0:00,20:07,3,2026-03-05 19:32:57,2026-03-05 19:32:57
330011,60002,120001,420151,,2026-02,24:13,1:58,0:00,26:11,11,2026-03-05 19:32:57,2026-03-05 19:32:57
330012,60002,120001,420170,,2026-02,9:00,0:55,0:00,9:55,8,2026-03-05 19:32:57,2026-03-05 19:32:57
330013,60002,120001,420172,,2026-02,18:14,7:58,0:00,26:12,5,2026-03-05 19:32:57,2026-03-05 19:32:57
330014,60002,120001,420176,,2026-02,31:10,0:02,0:00,31:12,5,2026-03-05 19:32:57,2026-03-05 19:32:57
330015,60002,120001,420055,,2026-01,73:48,8:20,0:00,82:08,14,2026-03-05 19:32:57,2026-03-05 19:32:57
330016,60002,120001,420062,,2026-01,106:25,22:17,0:00,128:42,15,2026-03-05 19:32:57,2026-03-05 19:32:57
330017,60002,120001,420075,,2026-01,111:24,6:06,0:00,117:30,13,2026-03-05 19:32:57,2026-03-05 19:32:57
330018,60002,120001,420084,,2026-01,14:23,0:42,0:00,15:05,2,2026-03-05 19:32:57,2026-03-05 19:32:57
330019,60002,120001,420089,,2026-01,23:09,0:38,0:00,23:47,3,2026-03-05 19:32:57,2026-03-05 19:32:57
