id,companyId,employeeId,mesReferencia,totalAtrasos,totalMinutosAtraso,totalFaltasInjustificadas,totalSaidasAntecipadas,totalMinutosSaidaAntecipada,totalDsrPerdidos,totalFeriadosPerdidos,totalHeNaoAutorizadas,totalMinutosHeNaoAutorizada,valorTotalAtrasos,valorTotalFaltas,valorTotalDsr,valorTotalFeriados,valorTotalSaidasAntecipadas,valorTotalHeNaoAutorizada,valorTotalDescontos,faltasAcumuladasPeriodoAquisitivo,diasFeriasResultante,status,revisadoPor,revisadoEm,createdAt,updatedAt
30471,60002,420168,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30472,60002,420169,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30473,60002,420170,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30474,60002,420171,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30475,60002,420172,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30476,60002,420173,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30477,60002,420174,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30478,60002,420175,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30479,60002,420176,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30480,60002,420177,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30481,60002,420178,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30482,60002,420179,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30483,60002,420180,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30484,60002,420181,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30485,60002,420188,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30486,60002,450001,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30487,60002,480001,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30488,60002,1260001,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30489,60002,1320015,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
