codigo_interno,nome,unidade,quantidade_atual,tipo_controle,categoria,empresa
MAT-0158,DESEMPENADEIRA DENTADA  25X12,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0159,DESEMPENADEIRA LISA 24X10,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0160,DESEMPENADEIRA LISA 25X12 ,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0161,DESEMPENADEIRA LISA 35X12,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0162,Enxada Larga com Cabo de Madeira,un,5.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0163,Carrinho Girica,un,10.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0164,Peneira ,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0165,Picareta com Cabo de Madeira,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0166,Alavanca Pé de Cabra,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0167,Cavadeira,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0168,Misturador (Batedor)para Argamassa e Massa,un,6.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0169,Cinto de segurança,kit,10.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0170,Rolo de Pintura sem cabo 9 mm,un,10.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0171,Marreta de 3kg,un,10.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0172,Pá ,un,4.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0173,Nível a Laser de Linhas Cruzadas DeWalt,un,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0174,Broxa Retangular,un,17.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0175,Espátula de Aço,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0176,"Lavagem e Higienização de Uniformes (Bleiser,camisas Manga Longa e Calças",un,25.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0177,Cupim - Marca Massa,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0178,Pistola de Fixação a Pólvora Ancora com Acessórios,kit,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0179,Pistola de Pinos a Pólvora Ancora com Kit de Limpeza e Lubrificante WD-40,kit,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0180,Pistola de Pólvora Ancora para Fixação,kit,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0181,TUBO TERMICO CPVC 022X3M AMANCO 20328,barra,123.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0182,CPVC CURVA 90 DN022 AMANCO 99784,pç,311.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0183,CPVC TEE 022 AMANCO 20298,pç,39.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0184,CPVC UNIAO 022 AMANCO 20319,pç,17.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0185,CPVC JOELHO 45 DN022 AMANCO 20253,pç,56.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0186,Barra de Apoio 40cm,un,5.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0187,Barra de apoio 80cm,un,7.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0188,JUNCAO SIMP ESG SN DN100,pç,13.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0189,JUNCAO SIMP RED ESG SN DN100X50,pç,5.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0190,JUNCAO SIMP RED ESG SN DN75X50,pç,32.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0191,JUNCAO SIMP ESG SN DN50,pç,22.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0192,LUVA SIMP ESG SN DN100,pç,18.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0193,LUVA SIMP ESG SN DN75,pç,60.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0194,LUVA SIMP ESG SN DN50,pç,4.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0195,LUVA SIMP ESG SN DN40,pç,24.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0196,"BASE REGISTRO GAVETA 3/4"" DECA",pç,16.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0197,Treliça H8,un,102.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0198,"Placa em Lona Pvc com Ilhos Medida 1,50M X 5M",un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0199,Pedra de Mão (Rachão),m³,6.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0200,Pó de Pedra,m³,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0201,"Barra Ca-50 6,3Mm 12,00M",un,17.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0202,"Barra Ca-50 8,0Mm 12,00M",un,16.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0203,"Barra Ca-50 12,5Mm 12,00M",un,51.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0204,Arame Recozido Torcido Nº18,kg,18.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0205,Meio Bloco (19X19x19),un,600.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0206,"Filetes 1,20X0,04 com 2 Frizos",m²,175.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0207,Tubo Água Fria 25Mm,m,60.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0208,Tê Azul 3/4,un,12.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0209,Cotovelo 90° - ∅25Mm,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0210,Cotovelo Soldável 3/4,un,20.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0211,Cotovelo Ponta Azul 3/4,un,8.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0212,Luva Marrom 3/4,un,10.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0213,Cola para Pvc Incolar Frasco 850G Tigre,kg,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0214,Lixa D'água 120,un,6.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
